**********************************************************************************

Results for system: 28 Li 12 La 48 O   8 Zr

DATE:   2/ 1/2019   11: 0:19

The first 10 points are the polyhedron corner points

**********************************************************************************

   mu_Li      mu_La      mu_O    |   mu_Zr
   -1.1642    -3.3341    -2.8061 |   -3.7626
   -1.1642    -3.3141    -2.8261 |   -3.6726
   -1.1642    -3.3141    -2.8061 |   -3.7926
   -1.1642    -3.2941    -2.8261 |   -3.7026
   -1.1642    -3.2741    -2.8461 |   -3.6126
   -1.1642    -3.2541    -2.8461 |   -3.6426
   -1.1642    -3.2341    -2.8661 |   -3.5526
   -1.1642    -3.1941    -2.8861 |   -3.4926
   -1.1442    -3.8741    -2.5061 |   -4.8226
   -1.1442    -3.8541    -2.5061 |   -4.8526
   -1.1442    -3.8341    -2.5261 |   -4.7626
   -1.1442    -3.8341    -2.5061 |   -4.8826
   -1.1442    -3.8141    -2.5261 |   -4.7926
   -1.1442    -3.8141    -2.5061 |   -4.9126
   -1.1442    -3.7941    -2.5461 |   -4.7026
   -1.1442    -3.7941    -2.5261 |   -4.8226
   -1.1442    -3.7941    -2.5061 |   -4.9426
   -1.1442    -3.7741    -2.5661 |   -4.6126
   -1.1442    -3.7741    -2.5461 |   -4.7326
   -1.1442    -3.7741    -2.5261 |   -4.8526
   -1.1442    -3.7741    -2.5061 |   -4.9726
   -1.1442    -3.7541    -2.5661 |   -4.6426
   -1.1442    -3.7541    -2.5461 |   -4.7626
   -1.1442    -3.7541    -2.5261 |   -4.8826
   -1.1442    -3.7341    -2.5861 |   -4.5526
   -1.1442    -3.7341    -2.5661 |   -4.6726
   -1.1442    -3.7341    -2.5461 |   -4.7926
   -1.1442    -3.7341    -2.5261 |   -4.9126
   -1.1442    -3.7141    -2.5861 |   -4.5826
   -1.1442    -3.7141    -2.5661 |   -4.7026
   -1.1442    -3.7141    -2.5461 |   -4.8226
   -1.1442    -3.6941    -2.6061 |   -4.4926
   -1.1442    -3.6941    -2.5861 |   -4.6126
   -1.1442    -3.6941    -2.5661 |   -4.7326
   -1.1442    -3.6741    -2.6261 |   -4.4026
   -1.1442    -3.6741    -2.6061 |   -4.5226
   -1.1442    -3.6741    -2.5861 |   -4.6426
   -1.1442    -3.6741    -2.5661 |   -4.7626
   -1.1442    -3.6541    -2.6261 |   -4.4326
   -1.1442    -3.6541    -2.6061 |   -4.5526
   -1.1442    -3.6541    -2.5861 |   -4.6726
   -1.1442    -3.6341    -2.6461 |   -4.3426
   -1.1442    -3.6341    -2.6261 |   -4.4626
   -1.1442    -3.6341    -2.6061 |   -4.5826
   -1.1442    -3.6141    -2.6461 |   -4.3726
   -1.1442    -3.6141    -2.6261 |   -4.4926
   -1.1442    -3.6141    -2.6061 |   -4.6126
   -1.1442    -3.5941    -2.6661 |   -4.2826
   -1.1442    -3.5941    -2.6461 |   -4.4026
   -1.1442    -3.5941    -2.6261 |   -4.5226
   -1.1442    -3.5741    -2.6861 |   -4.1926
   -1.1442    -3.5741    -2.6661 |   -4.3126
   -1.1442    -3.5741    -2.6461 |   -4.4326
   -1.1442    -3.5541    -2.6861 |   -4.2226
   -1.1442    -3.5541    -2.6661 |   -4.3426
   -1.1442    -3.5541    -2.6461 |   -4.4626
   -1.1442    -3.5341    -2.7061 |   -4.1326
   -1.1442    -3.5341    -2.6861 |   -4.2526
   -1.1442    -3.5341    -2.6661 |   -4.3726
   -1.1442    -3.5141    -2.7061 |   -4.1626
   -1.1442    -3.5141    -2.6861 |   -4.2826
   -1.1442    -3.4941    -2.7261 |   -4.0726
   -1.1442    -3.4941    -2.7061 |   -4.1926
   -1.1442    -3.4941    -2.6861 |   -4.3126
   -1.1442    -3.4741    -2.7461 |   -3.9826
   -1.1442    -3.4741    -2.7261 |   -4.1026
   -1.1442    -3.4741    -2.7061 |   -4.2226
   -1.1442    -3.4541    -2.7461 |   -4.0126
   -1.1442    -3.4541    -2.7261 |   -4.1326
   -1.1442    -3.4341    -2.7661 |   -3.9226
   -1.1442    -3.4341    -2.7461 |   -4.0426
   -1.1442    -3.4341    -2.7261 |   -4.1626
   -1.1442    -3.4141    -2.7661 |   -3.9526
   -1.1442    -3.4141    -2.7461 |   -4.0726
   -1.1442    -3.3941    -2.7861 |   -3.8626
   -1.1442    -3.3941    -2.7661 |   -3.9826
   -1.1442    -3.3741    -2.8061 |   -3.7726
   -1.1442    -3.3741    -2.7861 |   -3.8926
   -1.1442    -3.3741    -2.7661 |   -4.0126
   -1.1442    -3.3541    -2.8061 |   -3.8026
   -1.1442    -3.3541    -2.7861 |   -3.9226
   -1.1442    -3.3341    -2.8261 |   -3.7126
   -1.1442    -3.3341    -2.8061 |   -3.8326
   -1.1442    -3.3141    -2.8261 |   -3.7426
   -1.1442    -3.3141    -2.8061 |   -3.8626
   -1.1442    -3.2941    -2.8461 |   -3.6526
   -1.1442    -3.2941    -2.8261 |   -3.7726
   -1.1442    -3.2741    -2.8461 |   -3.6826
   -1.1442    -3.2541    -2.8661 |   -3.5926
   -1.1442    -3.2541    -2.8461 |   -3.7126
   -1.1442    -3.2341    -2.8661 |   -3.6226
   -1.1442    -3.2141    -2.8861 |   -3.5326
   -1.1442    -3.1941    -2.8861 |   -3.5626
   -1.1442    -3.1741    -2.9061 |   -3.4726
   -1.1442    -3.1341    -2.9261 |   -3.4126
   -1.1242    -3.8141    -2.5461 |   -4.7426
   -1.1242    -3.7941    -2.5461 |   -4.7726
   -1.1242    -3.7741    -2.5661 |   -4.6826
   -1.1242    -3.7741    -2.5461 |   -4.8026
   -1.1242    -3.7541    -2.5661 |   -4.7126
   -1.1242    -3.7541    -2.5461 |   -4.8326
   -1.1242    -3.7341    -2.5861 |   -4.6226
   -1.1242    -3.7341    -2.5661 |   -4.7426
   -1.1242    -3.7341    -2.5461 |   -4.8626
   -1.1242    -3.7141    -2.6061 |   -4.5326
   -1.1242    -3.7141    -2.5861 |   -4.6526
   -1.1242    -3.7141    -2.5661 |   -4.7726
   -1.1242    -3.7141    -2.5461 |   -4.8926
   -1.1242    -3.6941    -2.6061 |   -4.5626
   -1.1242    -3.6941    -2.5861 |   -4.6826
   -1.1242    -3.6941    -2.5661 |   -4.8026
   -1.1242    -3.6741    -2.6261 |   -4.4726
   -1.1242    -3.6741    -2.6061 |   -4.5926
   -1.1242    -3.6741    -2.5861 |   -4.7126
   -1.1242    -3.6741    -2.5661 |   -4.8326
   -1.1242    -3.6541    -2.6261 |   -4.5026
   -1.1242    -3.6541    -2.6061 |   -4.6226
   -1.1242    -3.6541    -2.5861 |   -4.7426
   -1.1242    -3.6341    -2.6461 |   -4.4126
   -1.1242    -3.6341    -2.6261 |   -4.5326
   -1.1242    -3.6341    -2.6061 |   -4.6526
   -1.1242    -3.6141    -2.6661 |   -4.3226
   -1.1242    -3.6141    -2.6461 |   -4.4426
   -1.1242    -3.6141    -2.6261 |   -4.5626
   -1.1242    -3.6141    -2.6061 |   -4.6826
   -1.1242    -3.5941    -2.6661 |   -4.3526
   -1.1242    -3.5941    -2.6461 |   -4.4726
   -1.1242    -3.5941    -2.6261 |   -4.5926
   -1.1242    -3.5741    -2.6861 |   -4.2626
   -1.1242    -3.5741    -2.6661 |   -4.3826
   -1.1242    -3.5741    -2.6461 |   -4.5026
   -1.1242    -3.5541    -2.6861 |   -4.2926
   -1.1242    -3.5541    -2.6661 |   -4.4126
   -1.1242    -3.5541    -2.6461 |   -4.5326
   -1.1242    -3.5341    -2.7061 |   -4.2026
   -1.1242    -3.5341    -2.6861 |   -4.3226
   -1.1242    -3.5341    -2.6661 |   -4.4426
   -1.1242    -3.5141    -2.7261 |   -4.1126
   -1.1242    -3.5141    -2.7061 |   -4.2326
   -1.1242    -3.5141    -2.6861 |   -4.3526
   -1.1242    -3.4941    -2.7261 |   -4.1426
   -1.1242    -3.4941    -2.7061 |   -4.2626
   -1.1242    -3.4941    -2.6861 |   -4.3826
   -1.1242    -3.4741    -2.7461 |   -4.0526
   -1.1242    -3.4741    -2.7261 |   -4.1726
   -1.1242    -3.4741    -2.7061 |   -4.2926
   -1.1242    -3.4541    -2.7461 |   -4.0826
   -1.1242    -3.4541    -2.7261 |   -4.2026
   -1.1242    -3.4341    -2.7661 |   -3.9926
   -1.1242    -3.4341    -2.7461 |   -4.1126
   -1.1242    -3.4341    -2.7261 |   -4.2326
   -1.1242    -3.4141    -2.7861 |   -3.9026
   -1.1242    -3.4141    -2.7661 |   -4.0226
   -1.1242    -3.4141    -2.7461 |   -4.1426
   -1.1242    -3.3941    -2.7861 |   -3.9326
   -1.1242    -3.3941    -2.7661 |   -4.0526
   -1.1242    -3.3741    -2.8061 |   -3.8426
   -1.1242    -3.3741    -2.7861 |   -3.9626
   -1.1242    -3.3741    -2.7661 |   -4.0826
   -1.1242    -3.3541    -2.8061 |   -3.8726
   -1.1242    -3.3541    -2.7861 |   -3.9926
   -1.1242    -3.3341    -2.8261 |   -3.7826
   -1.1242    -3.3341    -2.8061 |   -3.9026
   -1.1242    -3.3141    -2.8461 |   -3.6926
   -1.1242    -3.3141    -2.8261 |   -3.8126
   -1.1242    -3.3141    -2.8061 |   -3.9326
   -1.1242    -3.2941    -2.8461 |   -3.7226
   -1.1242    -3.2941    -2.8261 |   -3.8426
   -1.1242    -3.2741    -2.8661 |   -3.6326
   -1.1242    -3.2741    -2.8461 |   -3.7526
   -1.1242    -3.2541    -2.8661 |   -3.6626
   -1.1242    -3.2541    -2.8461 |   -3.7826
   -1.1242    -3.2341    -2.8861 |   -3.5726
   -1.1242    -3.2341    -2.8661 |   -3.6926
   -1.1242    -3.2141    -2.8861 |   -3.6026
   -1.1242    -3.1941    -2.9061 |   -3.5126
   -1.1242    -3.1941    -2.8861 |   -3.6326
   -1.1242    -3.1741    -2.9061 |   -3.5426
   -1.1242    -3.1541    -2.9261 |   -3.4526
   -1.1242    -3.1341    -2.9261 |   -3.4826
   -1.1242    -3.1141    -2.9461 |   -3.3926
   -1.1242    -3.0741    -2.9661 |   -3.3326
   -1.1042    -3.7541    -2.5861 |   -4.6626
   -1.1042    -3.7341    -2.5861 |   -4.6926
   -1.1042    -3.7141    -2.6061 |   -4.6026
   -1.1042    -3.7141    -2.5861 |   -4.7226
   -1.1042    -3.6941    -2.6061 |   -4.6326
   -1.1042    -3.6941    -2.5861 |   -4.7526
   -1.1042    -3.6741    -2.6261 |   -4.5426
   -1.1042    -3.6741    -2.6061 |   -4.6626
   -1.1042    -3.6741    -2.5861 |   -4.7826
   -1.1042    -3.6541    -2.6461 |   -4.4526
   -1.1042    -3.6541    -2.6261 |   -4.5726
   -1.1042    -3.6541    -2.6061 |   -4.6926
   -1.1042    -3.6541    -2.5861 |   -4.8126
   -1.1042    -3.6341    -2.6461 |   -4.4826
   -1.1042    -3.6341    -2.6261 |   -4.6026
   -1.1042    -3.6341    -2.6061 |   -4.7226
   -1.1042    -3.6141    -2.6661 |   -4.3926
   -1.1042    -3.6141    -2.6461 |   -4.5126
   -1.1042    -3.6141    -2.6261 |   -4.6326
   -1.1042    -3.6141    -2.6061 |   -4.7526
   -1.1042    -3.5941    -2.6661 |   -4.4226
   -1.1042    -3.5941    -2.6461 |   -4.5426
   -1.1042    -3.5941    -2.6261 |   -4.6626
   -1.1042    -3.5741    -2.6861 |   -4.3326
   -1.1042    -3.5741    -2.6661 |   -4.4526
   -1.1042    -3.5741    -2.6461 |   -4.5726
   -1.1042    -3.5541    -2.7061 |   -4.2426
   -1.1042    -3.5541    -2.6861 |   -4.3626
   -1.1042    -3.5541    -2.6661 |   -4.4826
   -1.1042    -3.5541    -2.6461 |   -4.6026
   -1.1042    -3.5341    -2.7061 |   -4.2726
   -1.1042    -3.5341    -2.6861 |   -4.3926
   -1.1042    -3.5341    -2.6661 |   -4.5126
   -1.1042    -3.5141    -2.7261 |   -4.1826
   -1.1042    -3.5141    -2.7061 |   -4.3026
   -1.1042    -3.5141    -2.6861 |   -4.4226
   -1.1042    -3.4941    -2.7261 |   -4.2126
   -1.1042    -3.4941    -2.7061 |   -4.3326
   -1.1042    -3.4941    -2.6861 |   -4.4526
   -1.1042    -3.4741    -2.7461 |   -4.1226
   -1.1042    -3.4741    -2.7261 |   -4.2426
   -1.1042    -3.4741    -2.7061 |   -4.3626
   -1.1042    -3.4541    -2.7661 |   -4.0326
   -1.1042    -3.4541    -2.7461 |   -4.1526
   -1.1042    -3.4541    -2.7261 |   -4.2726
   -1.1042    -3.4341    -2.7661 |   -4.0626
   -1.1042    -3.4341    -2.7461 |   -4.1826
   -1.1042    -3.4341    -2.7261 |   -4.3026
   -1.1042    -3.4141    -2.7861 |   -3.9726
   -1.1042    -3.4141    -2.7661 |   -4.0926
   -1.1042    -3.4141    -2.7461 |   -4.2126
   -1.1042    -3.3941    -2.7861 |   -4.0026
   -1.1042    -3.3941    -2.7661 |   -4.1226
   -1.1042    -3.3741    -2.8061 |   -3.9126
   -1.1042    -3.3741    -2.7861 |   -4.0326
   -1.1042    -3.3741    -2.7661 |   -4.1526
   -1.1042    -3.3541    -2.8261 |   -3.8226
   -1.1042    -3.3541    -2.8061 |   -3.9426
   -1.1042    -3.3541    -2.7861 |   -4.0626
   -1.1042    -3.3341    -2.8261 |   -3.8526
   -1.1042    -3.3341    -2.8061 |   -3.9726
   -1.1042    -3.3141    -2.8461 |   -3.7626
   -1.1042    -3.3141    -2.8261 |   -3.8826
   -1.1042    -3.3141    -2.8061 |   -4.0026
   -1.1042    -3.2941    -2.8461 |   -3.7926
   -1.1042    -3.2941    -2.8261 |   -3.9126
   -1.1042    -3.2741    -2.8661 |   -3.7026
   -1.1042    -3.2741    -2.8461 |   -3.8226
   -1.1042    -3.2541    -2.8861 |   -3.6126
   -1.1042    -3.2541    -2.8661 |   -3.7326
   -1.1042    -3.2541    -2.8461 |   -3.8526
   -1.1042    -3.2341    -2.8861 |   -3.6426
   -1.1042    -3.2341    -2.8661 |   -3.7626
   -1.1042    -3.2141    -2.9061 |   -3.5526
   -1.1042    -3.2141    -2.8861 |   -3.6726
   -1.1042    -3.1941    -2.9061 |   -3.5826
   -1.1042    -3.1941    -2.8861 |   -3.7026
   -1.1042    -3.1741    -2.9261 |   -3.4926
   -1.1042    -3.1741    -2.9061 |   -3.6126
   -1.1042    -3.1541    -2.9261 |   -3.5226
   -1.1042    -3.1341    -2.9461 |   -3.4326
   -1.1042    -3.1341    -2.9261 |   -3.5526
   -1.1042    -3.1141    -2.9461 |   -3.4626
   -1.1042    -3.0941    -2.9661 |   -3.3726
   -1.1042    -3.0741    -2.9661 |   -3.4026
   -1.1042    -3.0541    -2.9861 |   -3.3126
   -1.1042    -3.0141    -3.0061 |   -3.2526
   -1.0842    -3.6941    -2.6261 |   -4.5826
   -1.0842    -3.6741    -2.6261 |   -4.6126
   -1.0842    -3.6541    -2.6461 |   -4.5226
   -1.0842    -3.6541    -2.6261 |   -4.6426
   -1.0842    -3.6341    -2.6461 |   -4.5526
   -1.0842    -3.6341    -2.6261 |   -4.6726
   -1.0842    -3.6141    -2.6661 |   -4.4626
   -1.0842    -3.6141    -2.6461 |   -4.5826
   -1.0842    -3.6141    -2.6261 |   -4.7026
   -1.0842    -3.5941    -2.6861 |   -4.3726
   -1.0842    -3.5941    -2.6661 |   -4.4926
   -1.0842    -3.5941    -2.6461 |   -4.6126
   -1.0842    -3.5941    -2.6261 |   -4.7326
   -1.0842    -3.5741    -2.6861 |   -4.4026
   -1.0842    -3.5741    -2.6661 |   -4.5226
   -1.0842    -3.5741    -2.6461 |   -4.6426
   -1.0842    -3.5541    -2.7061 |   -4.3126
   -1.0842    -3.5541    -2.6861 |   -4.4326
   -1.0842    -3.5541    -2.6661 |   -4.5526
   -1.0842    -3.5541    -2.6461 |   -4.6726
   -1.0842    -3.5341    -2.7061 |   -4.3426
   -1.0842    -3.5341    -2.6861 |   -4.4626
   -1.0842    -3.5341    -2.6661 |   -4.5826
   -1.0842    -3.5141    -2.7261 |   -4.2526
   -1.0842    -3.5141    -2.7061 |   -4.3726
   -1.0842    -3.5141    -2.6861 |   -4.4926
   -1.0842    -3.4941    -2.7461 |   -4.1626
   -1.0842    -3.4941    -2.7261 |   -4.2826
   -1.0842    -3.4941    -2.7061 |   -4.4026
   -1.0842    -3.4941    -2.6861 |   -4.5226
   -1.0842    -3.4741    -2.7461 |   -4.1926
   -1.0842    -3.4741    -2.7261 |   -4.3126
   -1.0842    -3.4741    -2.7061 |   -4.4326
   -1.0842    -3.4541    -2.7661 |   -4.1026
   -1.0842    -3.4541    -2.7461 |   -4.2226
   -1.0842    -3.4541    -2.7261 |   -4.3426
   -1.0842    -3.4341    -2.7661 |   -4.1326
   -1.0842    -3.4341    -2.7461 |   -4.2526
   -1.0842    -3.4341    -2.7261 |   -4.3726
   -1.0842    -3.4141    -2.7861 |   -4.0426
   -1.0842    -3.4141    -2.7661 |   -4.1626
   -1.0842    -3.4141    -2.7461 |   -4.2826
   -1.0842    -3.3941    -2.8061 |   -3.9526
   -1.0842    -3.3941    -2.7861 |   -4.0726
   -1.0842    -3.3941    -2.7661 |   -4.1926
   -1.0842    -3.3741    -2.8061 |   -3.9826
   -1.0842    -3.3741    -2.7861 |   -4.1026
   -1.0842    -3.3741    -2.7661 |   -4.2226
   -1.0842    -3.3541    -2.8261 |   -3.8926
   -1.0842    -3.3541    -2.8061 |   -4.0126
   -1.0842    -3.3541    -2.7861 |   -4.1326
   -1.0842    -3.3341    -2.8261 |   -3.9226
   -1.0842    -3.3341    -2.8061 |   -4.0426
   -1.0842    -3.3141    -2.8461 |   -3.8326
   -1.0842    -3.3141    -2.8261 |   -3.9526
   -1.0842    -3.3141    -2.8061 |   -4.0726
   -1.0842    -3.2941    -2.8661 |   -3.7426
   -1.0842    -3.2941    -2.8461 |   -3.8626
   -1.0842    -3.2941    -2.8261 |   -3.9826
   -1.0842    -3.2741    -2.8661 |   -3.7726
   -1.0842    -3.2741    -2.8461 |   -3.8926
   -1.0842    -3.2541    -2.8861 |   -3.6826
   -1.0842    -3.2541    -2.8661 |   -3.8026
   -1.0842    -3.2541    -2.8461 |   -3.9226
   -1.0842    -3.2341    -2.8861 |   -3.7126
   -1.0842    -3.2341    -2.8661 |   -3.8326
   -1.0842    -3.2141    -2.9061 |   -3.6226
   -1.0842    -3.2141    -2.8861 |   -3.7426
   -1.0842    -3.1941    -2.9261 |   -3.5326
   -1.0842    -3.1941    -2.9061 |   -3.6526
   -1.0842    -3.1941    -2.8861 |   -3.7726
   -1.0842    -3.1741    -2.9261 |   -3.5626
   -1.0842    -3.1741    -2.9061 |   -3.6826
   -1.0842    -3.1541    -2.9461 |   -3.4726
   -1.0842    -3.1541    -2.9261 |   -3.5926
   -1.0842    -3.1341    -2.9461 |   -3.5026
   -1.0842    -3.1341    -2.9261 |   -3.6226
   -1.0842    -3.1141    -2.9661 |   -3.4126
   -1.0842    -3.1141    -2.9461 |   -3.5326
   -1.0842    -3.0941    -2.9661 |   -3.4426
   -1.0842    -3.0741    -2.9861 |   -3.3526
   -1.0842    -3.0741    -2.9661 |   -3.4726
   -1.0842    -3.0541    -2.9861 |   -3.3826
   -1.0842    -3.0341    -3.0061 |   -3.2926
   -1.0842    -3.0141    -3.0061 |   -3.3226
   -1.0842    -2.9941    -3.0261 |   -3.2326
   -1.0842    -2.9541    -3.0461 |   -3.1726
   -1.0642    -3.6341    -2.6661 |   -4.5026
   -1.0642    -3.6141    -2.6661 |   -4.5326
   -1.0642    -3.5941    -2.6861 |   -4.4426
   -1.0642    -3.5941    -2.6661 |   -4.5626
   -1.0642    -3.5741    -2.6861 |   -4.4726
   -1.0642    -3.5741    -2.6661 |   -4.5926
   -1.0642    -3.5541    -2.7061 |   -4.3826
   -1.0642    -3.5541    -2.6861 |   -4.5026
   -1.0642    -3.5541    -2.6661 |   -4.6226
   -1.0642    -3.5341    -2.7261 |   -4.2926
   -1.0642    -3.5341    -2.7061 |   -4.4126
   -1.0642    -3.5341    -2.6861 |   -4.5326
   -1.0642    -3.5341    -2.6661 |   -4.6526
   -1.0642    -3.5141    -2.7261 |   -4.3226
   -1.0642    -3.5141    -2.7061 |   -4.4426
   -1.0642    -3.5141    -2.6861 |   -4.5626
   -1.0642    -3.4941    -2.7461 |   -4.2326
   -1.0642    -3.4941    -2.7261 |   -4.3526
   -1.0642    -3.4941    -2.7061 |   -4.4726
   -1.0642    -3.4941    -2.6861 |   -4.5926
   -1.0642    -3.4741    -2.7461 |   -4.2626
   -1.0642    -3.4741    -2.7261 |   -4.3826
   -1.0642    -3.4741    -2.7061 |   -4.5026
   -1.0642    -3.4541    -2.7661 |   -4.1726
   -1.0642    -3.4541    -2.7461 |   -4.2926
   -1.0642    -3.4541    -2.7261 |   -4.4126
   -1.0642    -3.4341    -2.7861 |   -4.0826
   -1.0642    -3.4341    -2.7661 |   -4.2026
   -1.0642    -3.4341    -2.7461 |   -4.3226
   -1.0642    -3.4341    -2.7261 |   -4.4426
   -1.0642    -3.4141    -2.7861 |   -4.1126
   -1.0642    -3.4141    -2.7661 |   -4.2326
   -1.0642    -3.4141    -2.7461 |   -4.3526
   -1.0642    -3.3941    -2.8061 |   -4.0226
   -1.0642    -3.3941    -2.7861 |   -4.1426
   -1.0642    -3.3941    -2.7661 |   -4.2626
   -1.0642    -3.3741    -2.8061 |   -4.0526
   -1.0642    -3.3741    -2.7861 |   -4.1726
   -1.0642    -3.3741    -2.7661 |   -4.2926
   -1.0642    -3.3541    -2.8261 |   -3.9626
   -1.0642    -3.3541    -2.8061 |   -4.0826
   -1.0642    -3.3541    -2.7861 |   -4.2026
   -1.0642    -3.3341    -2.8461 |   -3.8726
   -1.0642    -3.3341    -2.8261 |   -3.9926
   -1.0642    -3.3341    -2.8061 |   -4.1126
   -1.0642    -3.3141    -2.8461 |   -3.9026
   -1.0642    -3.3141    -2.8261 |   -4.0226
   -1.0642    -3.3141    -2.8061 |   -4.1426
   -1.0642    -3.2941    -2.8661 |   -3.8126
   -1.0642    -3.2941    -2.8461 |   -3.9326
   -1.0642    -3.2941    -2.8261 |   -4.0526
   -1.0642    -3.2741    -2.8661 |   -3.8426
   -1.0642    -3.2741    -2.8461 |   -3.9626
   -1.0642    -3.2541    -2.8861 |   -3.7526
   -1.0642    -3.2541    -2.8661 |   -3.8726
   -1.0642    -3.2541    -2.8461 |   -3.9926
   -1.0642    -3.2341    -2.9061 |   -3.6626
   -1.0642    -3.2341    -2.8861 |   -3.7826
   -1.0642    -3.2341    -2.8661 |   -3.9026
   -1.0642    -3.2141    -2.9061 |   -3.6926
   -1.0642    -3.2141    -2.8861 |   -3.8126
   -1.0642    -3.1941    -2.9261 |   -3.6026
   -1.0642    -3.1941    -2.9061 |   -3.7226
   -1.0642    -3.1941    -2.8861 |   -3.8426
   -1.0642    -3.1741    -2.9261 |   -3.6326
   -1.0642    -3.1741    -2.9061 |   -3.7526
   -1.0642    -3.1541    -2.9461 |   -3.5426
   -1.0642    -3.1541    -2.9261 |   -3.6626
   -1.0642    -3.1341    -2.9661 |   -3.4526
   -1.0642    -3.1341    -2.9461 |   -3.5726
   -1.0642    -3.1341    -2.9261 |   -3.6926
   -1.0642    -3.1141    -2.9661 |   -3.4826
   -1.0642    -3.1141    -2.9461 |   -3.6026
   -1.0642    -3.0941    -2.9861 |   -3.3926
   -1.0642    -3.0941    -2.9661 |   -3.5126
   -1.0642    -3.0741    -2.9861 |   -3.4226
   -1.0642    -3.0741    -2.9661 |   -3.5426
   -1.0642    -3.0541    -3.0061 |   -3.3326
   -1.0642    -3.0541    -2.9861 |   -3.4526
   -1.0642    -3.0341    -3.0061 |   -3.3626
   -1.0642    -3.0141    -3.0261 |   -3.2726
   -1.0642    -3.0141    -3.0061 |   -3.3926
   -1.0642    -2.9941    -3.0261 |   -3.3026
   -1.0642    -2.9741    -3.0461 |   -3.2126
   -1.0642    -2.9541    -3.0461 |   -3.2426
   -1.0642    -2.9341    -3.0661 |   -3.1526
   -1.0642    -2.8941    -3.0861 |   -3.0926
   -1.0442    -3.5741    -2.7061 |   -4.4226
   -1.0442    -3.5541    -2.7061 |   -4.4526
   -1.0442    -3.5341    -2.7261 |   -4.3626
   -1.0442    -3.5341    -2.7061 |   -4.4826
   -1.0442    -3.5141    -2.7261 |   -4.3926
   -1.0442    -3.5141    -2.7061 |   -4.5126
   -1.0442    -3.4941    -2.7461 |   -4.3026
   -1.0442    -3.4941    -2.7261 |   -4.4226
   -1.0442    -3.4941    -2.7061 |   -4.5426
   -1.0442    -3.4741    -2.7661 |   -4.2126
   -1.0442    -3.4741    -2.7461 |   -4.3326
   -1.0442    -3.4741    -2.7261 |   -4.4526
   -1.0442    -3.4741    -2.7061 |   -4.5726
   -1.0442    -3.4541    -2.7661 |   -4.2426
   -1.0442    -3.4541    -2.7461 |   -4.3626
   -1.0442    -3.4541    -2.7261 |   -4.4826
   -1.0442    -3.4341    -2.7861 |   -4.1526
   -1.0442    -3.4341    -2.7661 |   -4.2726
   -1.0442    -3.4341    -2.7461 |   -4.3926
   -1.0442    -3.4341    -2.7261 |   -4.5126
   -1.0442    -3.4141    -2.7861 |   -4.1826
   -1.0442    -3.4141    -2.7661 |   -4.3026
   -1.0442    -3.4141    -2.7461 |   -4.4226
   -1.0442    -3.3941    -2.8061 |   -4.0926
   -1.0442    -3.3941    -2.7861 |   -4.2126
   -1.0442    -3.3941    -2.7661 |   -4.3326
   -1.0442    -3.3741    -2.8261 |   -4.0026
   -1.0442    -3.3741    -2.8061 |   -4.1226
   -1.0442    -3.3741    -2.7861 |   -4.2426
   -1.0442    -3.3741    -2.7661 |   -4.3626
   -1.0442    -3.3541    -2.8261 |   -4.0326
   -1.0442    -3.3541    -2.8061 |   -4.1526
   -1.0442    -3.3541    -2.7861 |   -4.2726
   -1.0442    -3.3341    -2.8461 |   -3.9426
   -1.0442    -3.3341    -2.8261 |   -4.0626
   -1.0442    -3.3341    -2.8061 |   -4.1826
   -1.0442    -3.3141    -2.8461 |   -3.9726
   -1.0442    -3.3141    -2.8261 |   -4.0926
   -1.0442    -3.3141    -2.8061 |   -4.2126
   -1.0442    -3.2941    -2.8661 |   -3.8826
   -1.0442    -3.2941    -2.8461 |   -4.0026
   -1.0442    -3.2941    -2.8261 |   -4.1226
   -1.0442    -3.2741    -2.8861 |   -3.7926
   -1.0442    -3.2741    -2.8661 |   -3.9126
   -1.0442    -3.2741    -2.8461 |   -4.0326
   -1.0442    -3.2541    -2.8861 |   -3.8226
   -1.0442    -3.2541    -2.8661 |   -3.9426
   -1.0442    -3.2541    -2.8461 |   -4.0626
   -1.0442    -3.2341    -2.9061 |   -3.7326
   -1.0442    -3.2341    -2.8861 |   -3.8526
   -1.0442    -3.2341    -2.8661 |   -3.9726
   -1.0442    -3.2141    -2.9061 |   -3.7626
   -1.0442    -3.2141    -2.8861 |   -3.8826
   -1.0442    -3.1941    -2.9261 |   -3.6726
   -1.0442    -3.1941    -2.9061 |   -3.7926
   -1.0442    -3.1941    -2.8861 |   -3.9126
   -1.0442    -3.1741    -2.9461 |   -3.5826
   -1.0442    -3.1741    -2.9261 |   -3.7026
   -1.0442    -3.1741    -2.9061 |   -3.8226
   -1.0442    -3.1541    -2.9461 |   -3.6126
   -1.0442    -3.1541    -2.9261 |   -3.7326
   -1.0442    -3.1341    -2.9661 |   -3.5226
   -1.0442    -3.1341    -2.9461 |   -3.6426
   -1.0442    -3.1341    -2.9261 |   -3.7626
   -1.0442    -3.1141    -2.9661 |   -3.5526
   -1.0442    -3.1141    -2.9461 |   -3.6726
   -1.0442    -3.0941    -2.9861 |   -3.4626
   -1.0442    -3.0941    -2.9661 |   -3.5826
   -1.0442    -3.0741    -3.0061 |   -3.3726
   -1.0442    -3.0741    -2.9861 |   -3.4926
   -1.0442    -3.0741    -2.9661 |   -3.6126
