**********************************************************************************

Results for system: 28 Li 12 La 48 O   8 Zr

DATE:   2/ 1/2019   11: 0:19

The first 10 points are the polyhedron corner points

**********************************************************************************

   mu_Li      mu_La      mu_O    |   mu_Zr
   -2.4642    -7.1541    -0.2461 |   -8.8426
   -2.4642    -7.1341    -0.2661 |   -8.7526
   -2.4642    -7.0941    -0.2861 |   -8.6926
   -2.4442    -7.5941    -0.0061 |   -9.6926
   -2.4442    -7.5741    -0.0261 |   -9.6026
   -2.4442    -7.5741    -0.0061 |   -9.7226
   -2.4442    -7.5541    -0.0261 |   -9.6326
   -2.4442    -7.5541    -0.0061 |   -9.7526
   -2.4442    -7.5341    -0.0461 |   -9.5426
   -2.4442    -7.5341    -0.0261 |   -9.6626
   -2.4442    -7.5341    -0.0061 |   -9.7826
   -2.4442    -7.5141    -0.0461 |   -9.5726
   -2.4442    -7.5141    -0.0261 |   -9.6926
   -2.4442    -7.5141    -0.0061 |   -9.8126
   -2.4442    -7.4941    -0.0661 |   -9.4826
   -2.4442    -7.4941    -0.0461 |   -9.6026
   -2.4442    -7.4941    -0.0261 |   -9.7226
   -2.4442    -7.4741    -0.0861 |   -9.3926
   -2.4442    -7.4741    -0.0661 |   -9.5126
   -2.4442    -7.4741    -0.0461 |   -9.6326
   -2.4442    -7.4541    -0.0861 |   -9.4226
   -2.4442    -7.4541    -0.0661 |   -9.5426
   -2.4442    -7.4541    -0.0461 |   -9.6626
   -2.4442    -7.4341    -0.1061 |   -9.3326
   -2.4442    -7.4341    -0.0861 |   -9.4526
   -2.4442    -7.4341    -0.0661 |   -9.5726
   -2.4442    -7.4141    -0.1061 |   -9.3626
   -2.4442    -7.4141    -0.0861 |   -9.4826
   -2.4442    -7.3941    -0.1261 |   -9.2726
   -2.4442    -7.3941    -0.1061 |   -9.3926
   -2.4442    -7.3941    -0.0861 |   -9.5126
   -2.4442    -7.3741    -0.1461 |   -9.1826
   -2.4442    -7.3741    -0.1261 |   -9.3026
   -2.4442    -7.3741    -0.1061 |   -9.4226
   -2.4442    -7.3541    -0.1461 |   -9.2126
   -2.4442    -7.3541    -0.1261 |   -9.3326
   -2.4442    -7.3341    -0.1661 |   -9.1226
   -2.4442    -7.3341    -0.1461 |   -9.2426
   -2.4442    -7.3341    -0.1261 |   -9.3626
   -2.4442    -7.3141    -0.1661 |   -9.1526
   -2.4442    -7.3141    -0.1461 |   -9.2726
   -2.4442    -7.2941    -0.1861 |   -9.0626
   -2.4442    -7.2941    -0.1661 |   -9.1826
   -2.4442    -7.2741    -0.2061 |   -8.9726
   -2.4442    -7.2741    -0.1861 |   -9.0926
   -2.4442    -7.2741    -0.1661 |   -9.2126
   -2.4442    -7.2541    -0.2061 |   -9.0026
   -2.4442    -7.2541    -0.1861 |   -9.1226
   -2.4442    -7.2341    -0.2261 |   -8.9126
   -2.4442    -7.2341    -0.2061 |   -9.0326
   -2.4442    -7.2141    -0.2261 |   -8.9426
   -2.4442    -7.2141    -0.2061 |   -9.0626
   -2.4442    -7.1941    -0.2461 |   -8.8526
   -2.4442    -7.1941    -0.2261 |   -8.9726
   -2.4442    -7.1741    -0.2461 |   -8.8826
   -2.4442    -7.1541    -0.2661 |   -8.7926
   -2.4442    -7.1541    -0.2461 |   -8.9126
   -2.4442    -7.1341    -0.2661 |   -8.8226
   -2.4442    -7.1141    -0.2861 |   -8.7326
   -2.4442    -7.0941    -0.2861 |   -8.7626
   -2.4442    -7.0741    -0.3061 |   -8.6726
   -2.4442    -7.0341    -0.3261 |   -8.6126
   -2.4242    -7.6141    -0.0061 |   -9.7326
   -2.4242    -7.5941    -0.0061 |   -9.7626
   -2.4242    -7.5741    -0.0261 |   -9.6726
   -2.4242    -7.5741    -0.0061 |   -9.7926
   -2.4242    -7.5541    -0.0261 |   -9.7026
   -2.4242    -7.5541    -0.0061 |   -9.8226
   -2.4242    -7.5341    -0.0461 |   -9.6126
   -2.4242    -7.5341    -0.0261 |   -9.7326
   -2.4242    -7.5341    -0.0061 |   -9.8526
   -2.4242    -7.5141    -0.0661 |   -9.5226
   -2.4242    -7.5141    -0.0461 |   -9.6426
   -2.4242    -7.5141    -0.0261 |   -9.7626
   -2.4242    -7.5141    -0.0061 |   -9.8826
   -2.4242    -7.4941    -0.0661 |   -9.5526
   -2.4242    -7.4941    -0.0461 |   -9.6726
   -2.4242    -7.4941    -0.0261 |   -9.7926
   -2.4242    -7.4741    -0.0861 |   -9.4626
   -2.4242    -7.4741    -0.0661 |   -9.5826
   -2.4242    -7.4741    -0.0461 |   -9.7026
   -2.4242    -7.4541    -0.0861 |   -9.4926
   -2.4242    -7.4541    -0.0661 |   -9.6126
   -2.4242    -7.4541    -0.0461 |   -9.7326
   -2.4242    -7.4341    -0.1061 |   -9.4026
   -2.4242    -7.4341    -0.0861 |   -9.5226
   -2.4242    -7.4341    -0.0661 |   -9.6426
   -2.4242    -7.4141    -0.1261 |   -9.3126
   -2.4242    -7.4141    -0.1061 |   -9.4326
   -2.4242    -7.4141    -0.0861 |   -9.5526
   -2.4242    -7.3941    -0.1261 |   -9.3426
   -2.4242    -7.3941    -0.1061 |   -9.4626
   -2.4242    -7.3941    -0.0861 |   -9.5826
   -2.4242    -7.3741    -0.1461 |   -9.2526
   -2.4242    -7.3741    -0.1261 |   -9.3726
   -2.4242    -7.3741    -0.1061 |   -9.4926
   -2.4242    -7.3541    -0.1461 |   -9.2826
   -2.4242    -7.3541    -0.1261 |   -9.4026
   -2.4242    -7.3341    -0.1661 |   -9.1926
   -2.4242    -7.3341    -0.1461 |   -9.3126
   -2.4242    -7.3341    -0.1261 |   -9.4326
   -2.4242    -7.3141    -0.1861 |   -9.1026
   -2.4242    -7.3141    -0.1661 |   -9.2226
   -2.4242    -7.3141    -0.1461 |   -9.3426
   -2.4242    -7.2941    -0.1861 |   -9.1326
   -2.4242    -7.2941    -0.1661 |   -9.2526
   -2.4242    -7.2741    -0.2061 |   -9.0426
   -2.4242    -7.2741    -0.1861 |   -9.1626
   -2.4242    -7.2741    -0.1661 |   -9.2826
   -2.4242    -7.2541    -0.2061 |   -9.0726
   -2.4242    -7.2541    -0.1861 |   -9.1926
   -2.4242    -7.2341    -0.2261 |   -8.9826
   -2.4242    -7.2341    -0.2061 |   -9.1026
   -2.4242    -7.2141    -0.2461 |   -8.8926
   -2.4242    -7.2141    -0.2261 |   -9.0126
   -2.4242    -7.2141    -0.2061 |   -9.1326
   -2.4242    -7.1941    -0.2461 |   -8.9226
   -2.4242    -7.1941    -0.2261 |   -9.0426
   -2.4242    -7.1741    -0.2661 |   -8.8326
   -2.4242    -7.1741    -0.2461 |   -8.9526
   -2.4242    -7.1541    -0.2661 |   -8.8626
   -2.4242    -7.1541    -0.2461 |   -8.9826
   -2.4242    -7.1341    -0.2861 |   -8.7726
   -2.4242    -7.1341    -0.2661 |   -8.8926
   -2.4242    -7.1141    -0.2861 |   -8.8026
   -2.4242    -7.0941    -0.3061 |   -8.7126
   -2.4242    -7.0941    -0.2861 |   -8.8326
   -2.4242    -7.0741    -0.3061 |   -8.7426
   -2.4242    -7.0541    -0.3261 |   -8.6526
   -2.4242    -7.0341    -0.3261 |   -8.6826
   -2.4242    -7.0141    -0.3461 |   -8.5926
   -2.4242    -6.9741    -0.3661 |   -8.5326
   -2.4042    -7.6141    -0.0061 |   -9.8026
   -2.4042    -7.5941    -0.0061 |   -9.8326
   -2.4042    -7.5741    -0.0261 |   -9.7426
   -2.4042    -7.5741    -0.0061 |   -9.8626
   -2.4042    -7.5541    -0.0461 |   -9.6526
   -2.4042    -7.5541    -0.0261 |   -9.7726
   -2.4042    -7.5541    -0.0061 |   -9.8926
   -2.4042    -7.5341    -0.0461 |   -9.6826
   -2.4042    -7.5341    -0.0261 |   -9.8026
   -2.4042    -7.5341    -0.0061 |   -9.9226
   -2.4042    -7.5141    -0.0661 |   -9.5926
   -2.4042    -7.5141    -0.0461 |   -9.7126
   -2.4042    -7.5141    -0.0261 |   -9.8326
   -2.4042    -7.5141    -0.0061 |   -9.9526
   -2.4042    -7.4941    -0.0661 |   -9.6226
   -2.4042    -7.4941    -0.0461 |   -9.7426
   -2.4042    -7.4941    -0.0261 |   -9.8626
   -2.4042    -7.4741    -0.0861 |   -9.5326
   -2.4042    -7.4741    -0.0661 |   -9.6526
   -2.4042    -7.4741    -0.0461 |   -9.7726
   -2.4042    -7.4541    -0.1061 |   -9.4426
   -2.4042    -7.4541    -0.0861 |   -9.5626
   -2.4042    -7.4541    -0.0661 |   -9.6826
   -2.4042    -7.4541    -0.0461 |   -9.8026
   -2.4042    -7.4341    -0.1061 |   -9.4726
   -2.4042    -7.4341    -0.0861 |   -9.5926
   -2.4042    -7.4341    -0.0661 |   -9.7126
   -2.4042    -7.4141    -0.1261 |   -9.3826
   -2.4042    -7.4141    -0.1061 |   -9.5026
   -2.4042    -7.4141    -0.0861 |   -9.6226
   -2.4042    -7.3941    -0.1261 |   -9.4126
   -2.4042    -7.3941    -0.1061 |   -9.5326
   -2.4042    -7.3941    -0.0861 |   -9.6526
   -2.4042    -7.3741    -0.1461 |   -9.3226
   -2.4042    -7.3741    -0.1261 |   -9.4426
   -2.4042    -7.3741    -0.1061 |   -9.5626
   -2.4042    -7.3541    -0.1661 |   -9.2326
   -2.4042    -7.3541    -0.1461 |   -9.3526
   -2.4042    -7.3541    -0.1261 |   -9.4726
   -2.4042    -7.3341    -0.1661 |   -9.2626
   -2.4042    -7.3341    -0.1461 |   -9.3826
   -2.4042    -7.3341    -0.1261 |   -9.5026
   -2.4042    -7.3141    -0.1861 |   -9.1726
   -2.4042    -7.3141    -0.1661 |   -9.2926
   -2.4042    -7.3141    -0.1461 |   -9.4126
   -2.4042    -7.2941    -0.1861 |   -9.2026
   -2.4042    -7.2941    -0.1661 |   -9.3226
   -2.4042    -7.2741    -0.2061 |   -9.1126
   -2.4042    -7.2741    -0.1861 |   -9.2326
   -2.4042    -7.2741    -0.1661 |   -9.3526
   -2.4042    -7.2541    -0.2261 |   -9.0226
   -2.4042    -7.2541    -0.2061 |   -9.1426
   -2.4042    -7.2541    -0.1861 |   -9.2626
   -2.4042    -7.2341    -0.2261 |   -9.0526
   -2.4042    -7.2341    -0.2061 |   -9.1726
   -2.4042    -7.2141    -0.2461 |   -8.9626
   -2.4042    -7.2141    -0.2261 |   -9.0826
   -2.4042    -7.2141    -0.2061 |   -9.2026
   -2.4042    -7.1941    -0.2461 |   -8.9926
   -2.4042    -7.1941    -0.2261 |   -9.1126
   -2.4042    -7.1741    -0.2661 |   -8.9026
   -2.4042    -7.1741    -0.2461 |   -9.0226
   -2.4042    -7.1541    -0.2861 |   -8.8126
   -2.4042    -7.1541    -0.2661 |   -8.9326
   -2.4042    -7.1541    -0.2461 |   -9.0526
   -2.4042    -7.1341    -0.2861 |   -8.8426
   -2.4042    -7.1341    -0.2661 |   -8.9626
   -2.4042    -7.1141    -0.3061 |   -8.7526
   -2.4042    -7.1141    -0.2861 |   -8.8726
   -2.4042    -7.0941    -0.3061 |   -8.7826
   -2.4042    -7.0941    -0.2861 |   -8.9026
   -2.4042    -7.0741    -0.3261 |   -8.6926
   -2.4042    -7.0741    -0.3061 |   -8.8126
   -2.4042    -7.0541    -0.3261 |   -8.7226
   -2.4042    -7.0341    -0.3461 |   -8.6326
   -2.4042    -7.0341    -0.3261 |   -8.7526
   -2.4042    -7.0141    -0.3461 |   -8.6626
   -2.4042    -6.9941    -0.3661 |   -8.5726
   -2.4042    -6.9741    -0.3661 |   -8.6026
   -2.4042    -6.9541    -0.3861 |   -8.5126
   -2.4042    -6.9141    -0.4061 |   -8.4526
   -2.3842    -7.5941    -0.0261 |   -9.7826
   -2.3842    -7.5741    -0.0261 |   -9.8126
   -2.3842    -7.5541    -0.0461 |   -9.7226
   -2.3842    -7.5541    -0.0261 |   -9.8426
   -2.3842    -7.5341    -0.0461 |   -9.7526
   -2.3842    -7.5341    -0.0261 |   -9.8726
   -2.3842    -7.5141    -0.0661 |   -9.6626
   -2.3842    -7.5141    -0.0461 |   -9.7826
   -2.3842    -7.5141    -0.0261 |   -9.9026
   -2.3842    -7.4941    -0.0861 |   -9.5726
   -2.3842    -7.4941    -0.0661 |   -9.6926
   -2.3842    -7.4941    -0.0461 |   -9.8126
   -2.3842    -7.4941    -0.0261 |   -9.9326
   -2.3842    -7.4741    -0.0861 |   -9.6026
   -2.3842    -7.4741    -0.0661 |   -9.7226
   -2.3842    -7.4741    -0.0461 |   -9.8426
   -2.3842    -7.4541    -0.1061 |   -9.5126
   -2.3842    -7.4541    -0.0861 |   -9.6326
   -2.3842    -7.4541    -0.0661 |   -9.7526
   -2.3842    -7.4541    -0.0461 |   -9.8726
   -2.3842    -7.4341    -0.1061 |   -9.5426
   -2.3842    -7.4341    -0.0861 |   -9.6626
   -2.3842    -7.4341    -0.0661 |   -9.7826
   -2.3842    -7.4141    -0.1261 |   -9.4526
   -2.3842    -7.4141    -0.1061 |   -9.5726
   -2.3842    -7.4141    -0.0861 |   -9.6926
   -2.3842    -7.3941    -0.1461 |   -9.3626
   -2.3842    -7.3941    -0.1261 |   -9.4826
   -2.3842    -7.3941    -0.1061 |   -9.6026
   -2.3842    -7.3941    -0.0861 |   -9.7226
   -2.3842    -7.3741    -0.1461 |   -9.3926
   -2.3842    -7.3741    -0.1261 |   -9.5126
   -2.3842    -7.3741    -0.1061 |   -9.6326
   -2.3842    -7.3541    -0.1661 |   -9.3026
   -2.3842    -7.3541    -0.1461 |   -9.4226
   -2.3842    -7.3541    -0.1261 |   -9.5426
   -2.3842    -7.3341    -0.1661 |   -9.3326
   -2.3842    -7.3341    -0.1461 |   -9.4526
   -2.3842    -7.3341    -0.1261 |   -9.5726
   -2.3842    -7.3141    -0.1861 |   -9.2426
   -2.3842    -7.3141    -0.1661 |   -9.3626
   -2.3842    -7.3141    -0.1461 |   -9.4826
   -2.3842    -7.2941    -0.2061 |   -9.1526
   -2.3842    -7.2941    -0.1861 |   -9.2726
   -2.3842    -7.2941    -0.1661 |   -9.3926
   -2.3842    -7.2741    -0.2061 |   -9.1826
   -2.3842    -7.2741    -0.1861 |   -9.3026
   -2.3842    -7.2741    -0.1661 |   -9.4226
   -2.3842    -7.2541    -0.2261 |   -9.0926
   -2.3842    -7.2541    -0.2061 |   -9.2126
   -2.3842    -7.2541    -0.1861 |   -9.3326
   -2.3842    -7.2341    -0.2261 |   -9.1226
   -2.3842    -7.2341    -0.2061 |   -9.2426
   -2.3842    -7.2141    -0.2461 |   -9.0326
   -2.3842    -7.2141    -0.2261 |   -9.1526
   -2.3842    -7.2141    -0.2061 |   -9.2726
   -2.3842    -7.1941    -0.2661 |   -8.9426
   -2.3842    -7.1941    -0.2461 |   -9.0626
   -2.3842    -7.1941    -0.2261 |   -9.1826
   -2.3842    -7.1741    -0.2661 |   -8.9726
   -2.3842    -7.1741    -0.2461 |   -9.0926
   -2.3842    -7.1541    -0.2861 |   -8.8826
   -2.3842    -7.1541    -0.2661 |   -9.0026
   -2.3842    -7.1541    -0.2461 |   -9.1226
   -2.3842    -7.1341    -0.2861 |   -8.9126
   -2.3842    -7.1341    -0.2661 |   -9.0326
   -2.3842    -7.1141    -0.3061 |   -8.8226
   -2.3842    -7.1141    -0.2861 |   -8.9426
   -2.3842    -7.0941    -0.3261 |   -8.7326
   -2.3842    -7.0941    -0.3061 |   -8.8526
   -2.3842    -7.0941    -0.2861 |   -8.9726
   -2.3842    -7.0741    -0.3261 |   -8.7626
   -2.3842    -7.0741    -0.3061 |   -8.8826
   -2.3842    -7.0541    -0.3461 |   -8.6726
   -2.3842    -7.0541    -0.3261 |   -8.7926
